topology: 4 5 4
in: 1.512856 1.598004 2.514162 13.306537 
out: 1.505247 1.564537 2.442471 12.889006 
in: 1.522648 1.593228 2.497032 13.268744 
out: 1.508847 1.586257 2.479693 13.06682 
in: 1.518559 1.584287 2.478177 13.178858 
out: 1.511096 1.578504 2.463634 13.065623 
in: 1.508703 1.578824 2.47227 13.181352 
out: 1.512256 1.570661 2.45131 13.04128 
in: 1.5084 1.583155 2.47383 13.170581 
out: 1.510396 1.57839 2.459908 13.032376 
in: 1.512395 1.577226 2.467512 13.096527 
out: 1.512605 1.591027 2.468101 13.078596 
in: 1.505247 1.564537 2.442471 12.889006 
out: 1.505601 1.600511 2.47195 13.211164 
in: 1.508847 1.586257 2.479693 13.06682 
out: 1.5042 1.601116 2.480426 13.236053 
in: 1.511096 1.578504 2.463634 13.065623 
out: 1.49925 1.605398 2.4887 13.306679 
in: 1.512256 1.570661 2.45131 13.04128 
out: 1.497251 1.591815 2.463983 13.322542 
in: 1.510396 1.57839 2.459908 13.032376 
out: 1.508051 1.597812 2.474874 13.348104 
in: 1.512605 1.591027 2.468101 13.078596 
out: 1.511395 1.600574 2.487294 13.415805 
in: 1.505601 1.600511 2.47195 13.211164 
out: 1.512456 1.58206 2.462257 13.310338 
in: 1.5042 1.601116 2.480426 13.236053 
out: 1.512846 1.592118 2.47364 13.342587 
in: 1.49925 1.605398 2.4887 13.306679 
out: 1.5121 1.596372 2.476639 13.358242 
in: 1.497251 1.591815 2.463983 13.322542 
out: 1.513743 1.585562 2.460381 13.29727 
in: 1.508051 1.597812 2.474874 13.348104 
out: 1.505499 1.582603 2.449768 13.364144 
in: 1.511395 1.600574 2.487294 13.415805 
out: 1.505348 1.582761 2.448299 13.354791 
in: 1.512456 1.58206 2.462257 13.310338 
out: 1.517259 1.59494 2.464464 13.466845 
in: 1.512846 1.592118 2.47364 13.342587 
out: 1.512246 1.584688 2.45859 13.365758 
in: 1.5121 1.596372 2.476639 13.358242 
out: 1.514506 1.593546 2.474248 13.37273 
in: 1.513743 1.585562 2.460381 13.29727 
out: 1.5017 1.604165 2.488273 13.365788 
in: 1.505499 1.582603 2.449768 13.364144 
out: 1.503199 1.60565 2.488488 13.392392 
in: 1.505348 1.582761 2.448299 13.354791 
